DATE,G,A,TKA,Season,Player,MonthOrPlayoff
Wed 3/23,1,1,0,2021-22,Evgeni Malkin,N
Tue 3/22,1,0,0,2021-22,Evgeni Malkin,N
Sat 3/19,1,0,1,2021-22,Evgeni Malkin,N
Thu 3/17,0,0,3,2021-22,Evgeni Malkin,N
Tue 3/15,0,0,1,2021-22,Evgeni Malkin,N
Sun 3/13,0,0,0,2021-22,Evgeni Malkin,N
Fri 3/11,0,0,2,2021-22,Evgeni Malkin,N
Tue 3/8,0,0,0,2021-22,Evgeni Malkin,N
Fri 3/4,0,0,1,2021-22,Evgeni Malkin,N
Thu 3/3,1,2,1,2021-22,Evgeni Malkin,N
Sun 2/27,1,1,0,2021-22,Evgeni Malkin,N
Sat 2/26,1,0,0,2021-22,Evgeni Malkin,N
Thu 2/24,1,0,0,2021-22,Evgeni Malkin,N
Sun 2/20,0,2,0,2021-22,Evgeni Malkin,N
Thu 2/17,1,0,0,2021-22,Evgeni Malkin,N
Tue 2/15,0,1,0,2021-22,Evgeni Malkin,N
Sun 2/13,0,0,3,2021-22,Evgeni Malkin,N
Tue 2/1,1,0,2,2021-22,Evgeni Malkin,N
Sun 1/30,0,1,1,2021-22,Evgeni Malkin,N
Fri 1/28,0,1,2,2021-22,Evgeni Malkin,N
Thu 1/27,1,0,0,2021-22,Evgeni Malkin,N
Tue 1/25,0,2,1,2021-22,Evgeni Malkin,N
Sun 1/23,0,1,1,2021-22,Evgeni Malkin,N
Fri 1/21,0,1,1,2021-22,Evgeni Malkin,N
Thu 1/20,1,0,1,2021-22,Evgeni Malkin,N
Mon 1/17,0,1,1,2021-22,Evgeni Malkin,N
Sat 1/15,0,0,1,2021-22,Evgeni Malkin,N
Thu 1/13,0,0,2,2021-22,Evgeni Malkin,N
Tue 1/11,2,1,1,2021-22,Evgeni Malkin,N
Wed 5/26,0,2,0,2020-21,Evgeni Malkin,Y
Mon 5/24,1,0,2,2020-21,Evgeni Malkin,Y
Sat 5/22,0,0,0,2020-21,Evgeni Malkin,Y
Thu 5/20,0,2,0,2020-21,Evgeni Malkin,Y
Sat 5/8,0,0,1,2020-21,Evgeni Malkin,N
Thu 5/6,0,1,0,2020-21,Evgeni Malkin,N
Tue 5/4,0,2,0,2020-21,Evgeni Malkin,N
Mon 5/3,0,1,0,2020-21,Evgeni Malkin,N
Tue 3/16,0,0,0,2020-21,Evgeni Malkin,N
Mon 3/15,1,1,1,2020-21,Evgeni Malkin,N
Sat 3/13,0,1,1,2020-21,Evgeni Malkin,N
Thu 3/11,1,1,0,2020-21,Evgeni Malkin,N
Tue 3/9,0,1,2,2020-21,Evgeni Malkin,N
Sun 3/7,1,1,1,2020-21,Evgeni Malkin,N
Sat 3/6,1,1,0,2020-21,Evgeni Malkin,N
Thu 3/4,0,1,1,2020-21,Evgeni Malkin,N
